Borough,Month,Year,Cars_And_Taxis,Buses_and_Coaches,Motorbikes,HGVs,LGVs,no2
Croydon,4,2020,789.1666666666666,26.916666666666668,25.541666666666668,50.416666666666664,231.66666666666666,45.16034446
Croydon,4,2021,1141.6666666666667,27.666666666666668,40.208333333333336,54.958333333333336,237.54166666666666,59.21193414500001
Croydon,5,2018,407.4259259259259,11.453703703703704,8.425925925925926,6.407407407407407,76.63888888888889,51.8726445335185
Croydon,5,2019,373.0416666666667,6.041666666666667,8.479166666666666,12.75,73.46875,43.04729548114583
Croydon,5,2020,558.1166666666667,14.666666666666666,14.4,45.56666666666667,153.78333333333333,29.218467700333317
Croydon,5,2021,586.4333333333333,8.866666666666667,29.866666666666667,19.45,117.4,38.12797398668333
Croydon,6,2018,634.2738095238095,9.095238095238095,15.333333333333334,29.36904761904762,134.8095238095238,53.56194345583334
Croydon,6,2019,615.6388888888889,9.38888888888889,7.888888888888889,28.36111111111111,125.08333333333333,36.88901123027778
Croydon,6,2020,744.7166666666667,43.25,20.816666666666666,42.35,158.55,35.04200183066666
Croydon,6,2021,681.3333333333334,14.5625,15.4375,23.395833333333332,141.5625,42.519031042916666
Croydon,7,2018,656.9833333333333,16.183333333333334,15.516666666666667,32.38333333333333,150.26666666666668,64.99216662116666
Croydon,7,2019,284.56666666666666,5.516666666666667,5.083333333333333,4.383333333333334,48.583333333333336,30.740362189833334
Croydon,7,2020,743.3611111111111,2.75,26.47222222222222,42.52777777777778,164.38888888888889,29.68848615750001
Croydon,7,2021,309.4166666666667,3.9166666666666665,3.0833333333333335,3.8333333333333335,42.75,25.492308052499997
Croydon,9,2018,723.8449612403101,18.527131782945737,13.03875968992248,18.093023255813954,149.9922480620155,40.129891907286826
Croydon,9,2019,375.4537037037037,11.518518518518519,10.694444444444445,8.277777777777779,74.64814814814815,33.161037321046294
Croydon,9,2020,298.1041666666667,8.3125,4.104166666666667,9.875,61.25,38.05054107624999
Croydon,9,2021,315.6666666666667,11.033333333333333,10.7,8.45,62.53333333333333,35.08542215783333
Croydon,10,2018,360.7916666666667,10.097222222222221,9.930555555555555,5.055555555555555,67.04166666666667,55.56428103986112
Croydon,10,2019,701.2291666666666,7.833333333333333,19.572916666666668,15.822916666666666,135.21875,27.438038770104175
